 X: 0.88036692 | Y: 1.08637249 | Z: 0.51552767 | accel X: 0.00253265 | accel Y: 0.00128461 | accel Z: -0.01958728
 X: 0.88124144 | Y: 1.08678472 | Z: 0.51932883 | accel X: 0.00253265 | accel Y: 0.00128461 | accel Z: -0.01958728
 X: 0.87648708 | Y: 1.08985698 | Z: 0.51244718 | accel X: 0.00406426 | accel Y: 0.00132838 | accel Z: -0.02770287
 X: 0.88226956 | Y: 1.08473611 | Z: 0.51562810 | accel X: 0.00733520 | accel Y: 0.00325311 | accel Z: -0.02469468
 X: 0.88435501 | Y: 1.08332729 | Z: 0.51373267 | accel X: 0.00593219 | accel Y: 0.00280172 | accel Z: -0.02919888
 X: 0.88153756 | Y: 1.08575809 | Z: 0.51286471 | accel X: 0.00625817 | accel Y: -0.00256494 | accel Z: -0.02970934
 X: 0.87891954 | Y: 1.08668840 | Z: 0.51225460 | accel X: 0.00752521 | accel Y: 0.00250356 | accel Z: -0.02652925
 X: 0.89187962 | Y: 1.07815039 | Z: 0.52013701 | accel X: 0.00508384 | accel Y: 0.00415862 | accel Z: -0.02395481
 X: 0.88915265 | Y: 1.08078444 | Z: 0.52029264 | accel X: 0.00508384 | accel Y: 0.00415862 | accel Z: -0.02395481
 X: 0.88590771 | Y: 1.08324492 | Z: 0.51393211 | accel X: 0.00492255 | accel Y: -0.00088173 | accel Z: -0.01925707
 X: 0.87832618 | Y: 1.08626258 | Z: 0.52573568 | accel X: -0.00108235 | accel Y: -0.00003456 | accel Z: -0.02442229
 X: 0.88630265 | Y: 1.08346045 | Z: 0.51624984 | accel X: 0.00085917 | accel Y: 0.00021720 | accel Z: -0.02215159
 X: 0.88519335 | Y: 1.08248842 | Z: 0.51595116 | accel X: 0.00396435 | accel Y: 0.00185442 | accel Z: -0.02314675
 X: 0.88482761 | Y: 1.08321393 | Z: 0.51633132 | accel X: 0.00546902 | accel Y: -0.00095272 | accel Z: -0.02887940
 X: 0.88472027 | Y: 1.08446693 | Z: 0.51746678 | accel X: 0.00601227 | accel Y: 0.00100568 | accel Z: -0.02441549
 X: 0.88302803 | Y: 1.08872902 | Z: 0.51762509 | accel X: 0.00601227 | accel Y: 0.00100568 | accel Z: -0.02441549
 X: 0.87710381 | Y: 1.08740830 | Z: 0.51879650 | accel X: 0.00618326 | accel Y: 0.00211190 | accel Z: -0.02969640
 X: 0.88338768 | Y: 1.08193433 | Z: 0.51571202 | accel X: 0.00085325 | accel Y: -0.00002373 | accel Z: -0.02853268
